target,onehotencoder__x0_S,onehotencoder__x0_U,onehotencoder__x1_AUTUMN,onehotencoder__x1_SPRING,onehotencoder__x1_SUMMER,onehotencoder__x1_WINTER,NC,SC,NWC
0.88,1.0,0.0,0.0,0.0,0.0,1.0,1.87,0.58,2.97
0.76,0.0,1.0,0.0,0.0,0.0,1.0,1.85,1.36,2.17
1.25,1.0,0.0,0.0,0.0,0.0,1.0,2.04,0.71,2.22
1.08,0.0,1.0,0.0,0.0,0.0,1.0,1.44,1.0,1.64
1.11,1.0,0.0,0.0,0.0,0.0,1.0,1.46,1.48,0.4
3.43,1.0,0.0,0.0,1.0,0.0,0.0,5.08,1.77,4.2
0.54,0.0,1.0,0.0,1.0,0.0,0.0,0.66,0.73,0.91
0.39,1.0,0.0,0.0,1.0,0.0,0.0,0.49,0.55,0.51
2.53,0.0,1.0,0.0,1.0,0.0,0.0,3.27,2.68,3.6
0.81,0.0,1.0,0.0,1.0,0.0,0.0,1.33,0.43,2.18
0.39,1.0,0.0,0.0,1.0,0.0,0.0,0.25,0.46,0.89
0.86,1.0,0.0,0.0,0.0,1.0,0.0,0.69,0.49,0.69
2.16,0.0,1.0,0.0,0.0,1.0,0.0,2.12,0.95,1.82
1.7,0.0,1.0,0.0,1.0,0.0,0.0,1.45,1.47,2.2
1.22,1.0,0.0,0.0,1.0,0.0,0.0,2.13,1.13,2.33
0.07,1.0,0.0,0.0,1.0,0.0,0.0,0.02,0.08,0.24
0.49,0.0,1.0,0.0,1.0,0.0,0.0,0.36,0.87,0.57
0.71,0.0,1.0,0.0,1.0,0.0,0.0,0.72,0.99,0.98
1.67,1.0,0.0,0.0,1.0,0.0,0.0,1.02,1.89,2.47
0.73,0.0,1.0,0.0,0.0,1.0,0.0,0.18,1.42,0.71
1.79,1.0,0.0,0.0,0.0,1.0,0.0,1.83,1.82,3.11
0.19,0.0,1.0,0.0,0.0,1.0,0.0,0.08,0.4,0.57
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.04,0.04
0.44,1.0,0.0,0.0,0.0,1.0,0.0,0.83,0.38,0.7
0.31,0.0,1.0,0.0,0.0,1.0,0.0,0.01,0.44,0.66
0.96,1.0,0.0,0.0,0.0,1.0,0.0,2.65,0.85,1.48
1.04,0.0,1.0,0.0,0.0,1.0,0.0,1.27,1.39,1.2
0.05,1.0,0.0,1.0,0.0,0.0,0.0,0.01,0.23,0.1
0.04,0.0,1.0,1.0,0.0,0.0,0.0,0.35,0.75,0.2
1.83,1.0,0.0,1.0,0.0,0.0,0.0,1.8,1.62,3.02
2.24,0.0,1.0,1.0,0.0,0.0,0.0,4.44,1.05,3.59
2.5,1.0,0.0,1.0,0.0,0.0,0.0,2.84,2.44,4.48
1.1,0.0,1.0,1.0,0.0,0.0,0.0,2.05,1.3,4.04
1.83,1.0,0.0,1.0,0.0,0.0,0.0,3.01,1.66,4.56
1.41,0.0,1.0,1.0,0.0,0.0,0.0,2.58,1.21,3.95
0.74,0.0,1.0,0.0,0.0,0.0,1.0,2.22,0.61,2.68
1.09,1.0,0.0,0.0,0.0,0.0,1.0,0.07,2.26,2.08
0.79,1.0,0.0,0.0,0.0,0.0,1.0,1.62,1.16,2.87
4.06,0.0,1.0,0.0,0.0,0.0,1.0,4.34,3.29,6.4
0.4,0.0,1.0,0.0,0.0,0.0,1.0,1.03,0.58,1.77
0.76,1.0,0.0,0.0,0.0,0.0,1.0,1.5,0.41,2.56
1.53,1.0,0.0,0.0,1.0,0.0,0.0,1.52,1.62,2.86
0.56,0.0,1.0,0.0,1.0,0.0,0.0,0.37,1.25,1.74
1.74,0.0,1.0,0.0,1.0,0.0,0.0,2.14,1.0,4.39
1.59,1.0,0.0,0.0,1.0,0.0,0.0,2.36,1.53,3.03
1.91,0.0,1.0,0.0,1.0,0.0,0.0,1.71,2.03,3.24
2.09,1.0,0.0,0.0,1.0,0.0,0.0,2.12,2.77,4.44
1.59,0.0,1.0,0.0,0.0,1.0,0.0,1.38,2.11,3.01
0.66,1.0,0.0,0.0,0.0,1.0,0.0,0.21,1.41,0.8
0.68,0.0,1.0,0.0,0.0,1.0,0.0,0.48,0.59,0.68
0.46,1.0,0.0,0.0,0.0,1.0,0.0,0.01,0.65,0.48
0.22,1.0,0.0,0.0,0.0,1.0,0.0,0.15,0.13,0.42
1.11,0.0,1.0,0.0,0.0,1.0,0.0,1.32,0.57,1.54
1.76,1.0,0.0,0.0,0.0,1.0,0.0,2.26,1.04,1.27
5.12,0.0,1.0,0.0,0.0,1.0,0.0,5.95,3.97,5.37
0.12,0.0,1.0,1.0,0.0,0.0,0.0,0.19,0.28,0.7
0.37,1.0,0.0,1.0,0.0,0.0,0.0,0.31,0.23,0.83
4.97,1.0,0.0,1.0,0.0,0.0,0.0,1.44,3.14,0.86
0.57,0.0,1.0,1.0,0.0,0.0,0.0,0.3,0.72,1.38
0.13,1.0,0.0,1.0,0.0,0.0,0.0,0.11,0.14,0.58
2.47,0.0,1.0,1.0,0.0,0.0,0.0,3.66,1.84,5.36
1.01,0.0,1.0,1.0,0.0,0.0,0.0,1.14,0.81,2.09
0.55,1.0,0.0,1.0,0.0,0.0,0.0,1.3,0.34,2.45
0.24,1.0,0.0,0.0,0.0,0.0,1.0,0.05,0.38,0.9
2.36,0.0,1.0,0.0,0.0,0.0,1.0,1.84,1.73,2.33
2.35,1.0,0.0,0.0,0.0,0.0,1.0,4.24,1.67,5.48
2.23,0.0,1.0,0.0,0.0,0.0,1.0,1.99,1.9,3.67
1.16,0.0,1.0,0.0,0.0,0.0,1.0,2.44,1.52,4.01
1.63,1.0,0.0,0.0,0.0,0.0,1.0,2.21,2.36,3.25
1.08,1.0,0.0,0.0,0.0,0.0,1.0,0.8,2.25,2.79
6.0,0.0,1.0,0.0,0.0,0.0,1.0,9.42,3.6,7.84
2.67,1.0,0.0,0.0,1.0,0.0,0.0,2.74,3.03,6.39
0.36,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.19,0.06
0.58,1.0,0.0,0.0,1.0,0.0,0.0,0.96,0.64,1.24
1.36,0.0,1.0,0.0,1.0,0.0,0.0,1.38,1.86,2.91
1.17,1.0,0.0,0.0,1.0,0.0,0.0,1.22,2.28,1.58
2.37,0.0,1.0,0.0,1.0,0.0,0.0,2.46,2.47,2.39
0.02,1.0,0.0,0.0,1.0,0.0,0.0,0.05,0.02,0.09
0.92,0.0,1.0,0.0,1.0,0.0,0.0,0.61,0.87,1.35
