target,onehotencoder__x0_10-14,onehotencoder__x0_15-19,onehotencoder__x0_20-24,onehotencoder__x0_25-29,onehotencoder__x0_30-34,onehotencoder__x0_35-39,onehotencoder__x0_40-44,onehotencoder__x0_45-54,onehotencoder__x0_55-64,onehotencoder__x0_65+,onehotencoder__x1_Female,onehotencoder__x1_Male,onehotencoder__x2_American_Indian,onehotencoder__x2_Asian/Pacific_Island,onehotencoder__x2_Black,onehotencoder__x2_Hispanic,onehotencoder__x2_White
21813.0,0,1.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,1.0,0
19745.0,0,0,1.0,0,0,0,0,0,0,0,1.0,0,0,0,0,1.0,0
9048.0,0,0,0,1.0,0,0,0,0,0,0,1.0,0,0,0,0,1.0,0
3878.0,0,0,0,0,1.0,0,0,0,0,0,1.0,0,0,0,0,1.0,0
1547.0,0,0,0,0,0,1.0,0,0,0,0,1.0,0,0,0,0,1.0,0
613.0,0,0,0,0,0,0,1.0,0,0,0,1.0,0,0,0,0,1.0,0
349.0,0,0,0,0,0,0,0,1.0,0,0,1.0,0,0,0,0,1.0,0
349.0,0,0,0,0,0,0,0,0,1.0,0,1.0,0,0,0,0,1.0,0
91.0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,0,0,0,1.0,0
15.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0,0,1.0,0,0,0
213.0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,1.0,0,0,0
340.0,0,0,1.0,0,0,0,0,0,0,0,0,1.0,0,1.0,0,0,0
195.0,0,0,0,1.0,0,0,0,0,0,0,0,1.0,0,1.0,0,0,0
122.0,0,0,0,0,1.0,0,0,0,0,0,0,1.0,0,1.0,0,0,0
62.0,0,0,0,0,0,1.0,0,0,0,0,0,1.0,0,1.0,0,0,0
44.0,0,0,0,0,0,0,1.0,0,0,0,0,1.0,0,1.0,0,0,0
24.0,0,0,0,0,0,0,0,1.0,0,0,0,1.0,0,1.0,0,0,0
24.0,0,0,0,0,0,0,0,0,1.0,0,0,1.0,0,1.0,0,0,0
5.0,0,0,0,0,0,0,0,0,0,1.0,0,1.0,0,1.0,0,0,0
108.0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,1.0,0,0,0
1723.0,0,1.0,0,0,0,0,0,0,0,0,1.0,0,0,1.0,0,0,0
1915.0,0,0,1.0,0,0,0,0,0,0,0,1.0,0,0,1.0,0,0,0
921.0,0,0,0,1.0,0,0,0,0,0,0,1.0,0,0,1.0,0,0,0
438.0,0,0,0,0,1.0,0,0,0,0,0,1.0,0,0,1.0,0,0,0
231.0,0,0,0,0,0,1.0,0,0,0,0,1.0,0,0,1.0,0,0,0
92.0,0,0,0,0,0,0,1.0,0,0,0,1.0,0,0,1.0,0,0,0
69.0,0,0,0,0,0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,0
69.0,0,0,0,0,0,0,0,0,1.0,0,1.0,0,0,1.0,0,0,0
5.0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,0,1.0,0,0,0
16.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,0,0,0
421.0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,0,0,0
452.0,0,0,1.0,0,0,0,0,0,0,0,0,1.0,1.0,0,0,0,0
247.0,0,0,0,1.0,0,0,0,0,0,0,0,1.0,1.0,0,0,0,0
144.0,0,0,0,0,1.0,0,0,0,0,0,0,1.0,1.0,0,0,0,0
52.0,0,0,0,0,0,1.0,0,0,0,0,0,1.0,1.0,0,0,0,0
29.0,0,0,0,0,0,0,1.0,0,0,0,0,1.0,1.0,0,0,0,0
12.0,0,0,0,0,0,0,0,1.0,0,0,0,1.0,1.0,0,0,0,0
12.0,0,0,0,0,0,0,0,0,1.0,0,0,1.0,1.0,0,0,0,0
3.0,0,0,0,0,0,0,0,0,0,1.0,0,1.0,1.0,0,0,0,0
198.0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,1.0,0,0,0,0
2921.0,0,1.0,0,0,0,0,0,0,0,0,1.0,0,1.0,0,0,0,0
2409.0,0,0,1.0,0,0,0,0,0,0,0,1.0,0,1.0,0,0,0,0
1009.0,0,0,0,1.0,0,0,0,0,0,0,1.0,0,1.0,0,0,0,0
496.0,0,0,0,0,1.0,0,0,0,0,0,1.0,0,1.0,0,0,0,0
280.0,0,0,0,0,0,1.0,0,0,0,0,1.0,0,1.0,0,0,0,0
125.0,0,0,0,0,0,0,1.0,0,0,0,1.0,0,1.0,0,0,0,0
77.0,0,0,0,0,0,0,0,1.0,0,0,1.0,0,1.0,0,0,0,0
77.0,0,0,0,0,0,0,0,0,1.0,0,1.0,0,1.0,0,0,0,0
8.0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,1.0,0,0,0,0
